CURRENTDAY	Irradiation	Tmin	Tmax	VapourPressure	WindSpeed	Precipitation
14.07.2000	15.024052619934082	18.59072	30.45326	23.234447	1.0421159	0.0
15.07.2000	17.50450325012207	18.4944	31.92452	23.887175	1.2505392	0.0
15.07.2000	16.24371910095215	18.4944	31.92452	23.887175	1.2505392	0.0
15.07.2000	15.302669525146484	18.4944	31.92452	23.887175	1.2505392	0.0
15.07.2000	16.08609390258789	18.4944	31.92452	23.887175	1.2505392	0.0
15.07.2000	17.36400032043457	18.4944	31.92452	23.887175	1.2505392	0.0
15.07.2000	17.27312469482422	18.4944	31.92452	23.887175	1.2505392	0.0
15.07.2000	14.265840530395508	18.4944	31.92452	23.887175	1.2505392	0.0
15.07.2000	12.513668060302734	18.4944	31.92452	23.887175	1.2505392	0.0
15.07.2000	13.802705764770508	18.4944	31.92452	23.887175	1.2505392	0.0
15.07.2000	16.098615646362305	18.4944	31.92452	23.887175	1.2505392	0.0
15.07.2000	17.685270309448242	18.4944	31.92452	23.887175	1.2505392	0.0
15.07.2000	15.668835639953613	18.4944	31.92452	23.887175	1.2505392	0.0
15.07.2000	11.277236938476562	18.4944	31.92452	23.887175	1.2505392	0.0
15.07.2000	12.432074546813965	18.4944	31.92452	23.887175	1.2505392	0.0
15.07.2000	15.165916442871094	18.4944	31.92452	23.887175	1.2505392	0.0
15.07.2000	17.265642166137695	18.4944	31.92452	23.887175	1.2505392	0.0
15.07.2000	17.857025146484375	18.4944	31.92452	23.887175	1.2505392	0.0
15.07.2000	15.675689697265625	18.4944	31.92452	23.887175	1.2505392	0.0
15.07.2000	14.145806312561035	18.4944	31.92452	23.887175	1.2505392	0.0
15.07.2000	16.163684844970703	18.4944	31.92452	23.887175	1.2505392	0.0
15.07.2000	16.623010635375977	18.4944	31.92452	23.887175	1.2505392	0.0
15.07.2000	17.216955184936523	18.4944	31.92452	23.887175	1.2505392	0.0
15.07.2000	17.772790908813477	18.4944	31.92452	23.887175	1.2505392	0.0
15.07.2000	17.335664749145508	18.4944	31.92452	23.887175	1.2505392	0.0
15.07.2000	17.455190658569336	18.4944	31.92452	23.887175	1.2505392	0.0
16.07.2000	9.46120834350586	17.72384	26.35475	17.084253	2.60529	0.0
16.07.2000	8.906819343566895	17.72384	26.35475	17.084253	2.60529	0.0
16.07.2000	8.396744728088379	17.72384	26.35475	17.084253	2.60529	0.0
16.07.2000	8.873824119567871	17.72384	26.35475	17.084253	2.60529	0.0
16.07.2000	9.431796073913574	17.72384	26.35475	17.084253	2.60529	0.0
16.07.2000	9.124788284301758	17.72384	26.35475	17.084253	2.60529	0.0
16.07.2000	7.744626045227051	17.72384	26.35475	17.084253	2.60529	0.0
16.07.2000	6.8531341552734375	17.72384	26.35475	17.084253	2.60529	0.0
16.07.2000	7.647678852081299	17.72384	26.35475	17.084253	2.60529	0.0
16.07.2000	8.878928184509277	17.72384	26.35475	17.084253	2.60529	0.0
16.07.2000	8.885856628417969	17.72384	26.35475	17.084253	2.60529	0.0
16.07.2000	7.5049872398376465	17.72384	26.35475	17.084253	2.60529	0.0
16.07.2000	5.803664207458496	17.72384	26.35475	17.084253	2.60529	0.0
16.07.2000	6.827439308166504	17.72384	26.35475	17.084253	2.60529	0.0
16.07.2000	8.358481407165527	17.72384	26.35475	17.084253	2.60529	0.0
16.07.2000	9.097738265991211	17.72384	26.35475	17.084253	2.60529	0.0
